time;NSC_res;NSC_G;NSC_PC;Liver_res;Liver_G;Liver_PC;Liver_res2;Pancreas_res;Pancreas_G;Pancreas_PC;Beta_res;Beta_res2;Beta_G;Beta_PC;Alpha_res;Alpha_G;Alpha_PC;Surrenal_res;Surrenal_G;Surrenal_PC;Glucose;Glycogene;AcidesGras;AcidesAmines;AcetylCoA;Pyruvate;ATP;AMPK;Cortisol;Insulin;Glucagon
210.0;1.0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;60.0;18.80000000000002;7.000000000000003;200.0;13.90000000000011;1.0;2172.2000000000057;1;0.2849848955409913;10.705793110017662;0.34471951889169555
211.0;0.0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;54.0;19.80000000000002;7.8000000000000025;200.0;14.40000000000011;1.0;2136.600000000006;1;0.21112200323584243;7.93104660274988;5.255374500619603
212.0;0.0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;72.0;25.60000000000002;8.900000000000004;210.0;14.90000000000011;1.0;2101.000000000006;1;0.15640302678393667;9.87546383239295;3.8932771865650864
213.0;0.0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;66.0;26.60000000000002;9.700000000000005;210.0;12.500000000000112;1.0;2094.400000000006;1;0.11586621201131103;11.315923544720004;2.884210677971872
214.0;0.0;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;60.0;27.60000000000002;10.500000000000005;210.0;10.100000000000113;1.0;2087.800000000006;1;0.08583580101935012;8.38304234576983;2.136675822526333
215.0;0.0;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;54.0;28.60000000000002;11.300000000000006;210.0;7.700000000000115;1.0;2081.200000000006;1;0.06358872538194495;6.2103105144927;7.082888381017604
216.0;0.0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1;1;0;0;1;56.0;21.60000000000002;9.700000000000006;210.0;23.300000000000118;1.0;2021.2000000000062;1;0.0;4.600711185227445;10.747132767712674
217.0;0.0;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;0;1;58.0;14.60000000000002;8.100000000000007;210.0;8.50000000000012;1.0;2265.200000000006;0;0.0;3.4082906741106735;13.46167177440709
218.0;0.0;1;1;0;1;1;0;0;1;1;1;0;1;1;0;1;1;0;0;1;60.0;7.600000000000019;6.500000000000007;210.0;24.100000000000122;1.0;2205.200000000006;0;0.0;2.524923832760762;9.972651731317564
219.0;0.0;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1;62.0;0.6000000000000192;4.9000000000000075;210.0;9.300000000000125;1.0;2449.200000000006;0;0.0;7.8705095811426915;7.387922111073131
220.0;0.0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1;0;0;1;56.0;1.6000000000000192;5.700000000000007;210.0;6.900000000000125;1.0;2442.6000000000063;0;0.0;5.830616903760541;10.973107312860318
221.0;0.0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;51.0;1.6000000000000192;4.100000000000007;210.0;22.500000000000128;1.0;2382.6000000000063;0;0.0;4.319427240120631;13.129077834862727
222.0;0.0;0;1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;1;46.0;1.6000000000000192;2.5000000000000067;210.0;7.700000000000131;1.0;2626.6000000000063;0;0.0;3.199910402390309;14.726260080814786
223.0;1.0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;41.0;1.6000000000000192;0.9000000000000066;210.0;23.300000000000132;1.0;2566.6000000000063;0;0.0;2.3705519306397087;15.90948179036542
